1,1,The Declaration of Independence of the United States of America,Thomas Jefferson,https://www.gutenberg.org/files/1/1-0.txt
2,3,John F. Kennedy's Inaugural Address,John F. Kennedy,https://www.gutenberg.org/files/3/3-0.txt
3,7,The Mayflower Compact,Unknown Author,https://www.gutenberg.org/files/7/7-0.txt
1,9,Abraham Lincoln's First Inaugural Address,Abraham Lincoln,https://www.gutenberg.org/files/9/9-0.txt
2,10,The King James Version of the Bible,Unknown Author,https://www.gutenberg.org/files/10/10-0.txt
3,11,Alice's Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/files/11/11-0.txt
